Country	Gold	Silver	Bronze	Total
UNITED STATES	46	37	38	121
GREAT BRITAIN	27	23	17	67
CHINA	26	18	26	70
RUSSIA	19	18	19	56
GERMANY	17	10	15	42
JAPAN	12	8	21	41
FRANCE	10	18	14	42
REPUBLIC OF KOREA	9	3	9	21
ITALY	8	12	8	28
AUSTRALIA	8	11	10	29
NETHERLANDS	8	7	4	19
HUNGARY	8	3	4	15
BRAZIL	7	6	6	19
SPAIN	7	4	6	17
KENYA	6	6	1	13
JAMAICA	6	3	2	11
CROATIA	5	3	2	10
CUBA	5	2	4	11
NEW ZEALAND	4	9	5	18
CANADA	4	3	15	22
UZBEKISTAN	4	2	7	13
KAZAKHSTAN	3	5	9	17
COLOMBIA	3	2	3	8
SWITZERLAND	3	2	2	7
IRAN	3	1	4	8
GREECE	3	1	2	6
ARGENTINA	3	1	0	4
DENMARK	2	6	7	15
SWEDEN	2	6	3	11
SOUTH AFRICA	2	6	2	10
UKRAINE	2	5	4	11
SERBIA	2	4	2	8
POLAND	2	3	6	11
DPR KOREA	2	3	2	7
BELGIUM	2	2	2	6
THAILAND	2	2	2	6
SLOVAKIA	2	2	0	4
GEORGIA	2	1	4	7
AZERBAIJAN	1	7	10	18
BELARUS	1	4	4	9
TURKEY	1	3	4	8
ARMENIA	1	3	0	4
CZECH REPUBLIC	1	2	7	10
ETHIOPIA	1	2	5	8
SLOVENIA	1	2	1	4
INDONESIA	1	2	0	3
ROMANIA	1	1	3	5
BAHRAIN	1	1	0	2
VIETNAM	1	1	0	2
CHINESE TAIPEI	1	0	2	3
BAHAMAS	1	0	1	2
IVORY COAST	1	0	1	2
IOA	1	0	1	2
FIJI	1	0	0	1
JORDAN	1	0	0	1
KOSOVO	1	0	0	1
PUERTO RICO	1	0	0	1
SINGAPORE	1	0	0	1
TAJIKISTAN	1	0	0	1
MALAYSIA	0	4	1	5
MEXICO	0	3	2	5
ALGERIA	0	2	0	2
IRELAND	0	2	0	2
LITHUANIA	0	1	3	4
BULGARIA	0	1	2	3
VENEZUELA	0	1	2	3
INDIA	0	1	1	2
MONGOLIA	0	1	1	2
BURUNDI	0	1	0	1
GRENADA	0	1	0	1
NIGER	0	1	0	1
PHILIPPINES	0	1	0	1
QATAR	0	1	0	1
NORWAY	0	0	4	4
EGYPT	0	0	3	3
TUNISIA	0	0	3	3
ISRAEL	0	0	2	2
AUSTRIA	0	0	1	1
DOMINICAN REPUBLIC	0	0	1	1
ESTONIA	0	0	1	1
FINLAND	0	0	1	1
MOROCCO	0	0	1	1
REPUBLIC OF MOLDOVA	0	0	1	1
NIGERIA	0	0	1	1
PORTUGAL	0	0	1	1
TRINIDAD AND TOBAGO	0	0	1	1
UNITED ARAB EMIRATES	0	0	1	1
